[0.7167 0.6604 0.5682 0.4707 0.3505 0.2379 0.1355]
epoch=  369  step= 4800  Loss=0.6678  cls_acc=89.52  best_map=46.13
[0.7108 0.6562 0.5642 0.4681 0.3508 0.2401 0.1375]
epoch=  373  step= 4850  Loss=0.6665  cls_acc=90.95  best_map=46.13
[0.7247 0.6692 0.5738 0.4780 0.3604 0.2421 0.1421]
epoch=  376  step= 4900  Loss=0.6716  cls_acc=90.00  best_map=46.13
[0.7248 0.6678 0.5716 0.4733 0.3553 0.2392 0.1362]
epoch=  380  step= 4950  Loss=0.6477  cls_acc=91.90  best_map=46.13
[0.7287 0.6732 0.5816 0.4802 0.3567 0.2395 0.1466]
epoch=  384  step= 5000  Loss=0.6404  cls_acc=90.00  best_map=46.13
[0.7289 0.6741 0.5803 0.4795 0.3556 0.2392 0.1397]
epoch=  388  step= 5050  Loss=0.6444  cls_acc=91.43  best_map=46.13
[0.7226 0.6690 0.5752 0.4774 0.3547 0.2389 0.1413]
epoch=  392  step= 5100  Loss=0.6390  cls_acc=90.95  best_map=46.13
[0.7306 0.6735 0.5760 0.4772 0.3523 0.2376 0.1388]
epoch=  396  step= 5150  Loss=0.6309  cls_acc=90.95  best_map=46.13
[0.7271 0.6695 0.5726 0.4735 0.3497 0.2356 0.1332]
epoch=  399  step= 5200  Loss=0.6290  cls_acc=92.86  best_map=46.13
[0.7167 0.6617 0.5680 0.4660 0.3475 0.2297 0.1313]
epoch=  403  step= 5250  Loss=0.6299  cls_acc=89.52  best_map=46.13
[0.7297 0.6748 0.5793 0.4754 0.3574 0.2400 0.1397]
epoch=  407  step= 5300  Loss=0.6158  cls_acc=91.43  best_map=46.13
[0.7123 0.6597 0.5693 0.4709 0.3550 0.2378 0.1374]
epoch=  411  step= 5350  Loss=0.6274  cls_acc=91.43  best_map=46.13
[0.7261 0.6707 0.5752 0.4768 0.3547 0.2431 0.1400]
epoch=  415  step= 5400  Loss=0.6090  cls_acc=91.90  best_map=46.13
