epoch=  361  step= 4700  Loss=0.5401  cls_acc=89.52  best_map=45.14
[0.7036 0.6495 0.5569 0.4643 0.3476 0.2373 0.1374]
epoch=  365  step= 4750  Loss=0.5237  cls_acc=88.57  best_map=45.14
[0.6913 0.6404 0.5515 0.4574 0.3396 0.2308 0.1337]
epoch=  369  step= 4800  Loss=0.5270  cls_acc=86.67  best_map=45.14
[0.6623 0.6115 0.5220 0.4364 0.3243 0.2220 0.1297]
epoch=  373  step= 4850  Loss=0.5295  cls_acc=86.67  best_map=45.14
[0.7050 0.6490 0.5600 0.4657 0.3412 0.2320 0.1386]
epoch=  376  step= 4900  Loss=0.5274  cls_acc=90.00  best_map=45.14
[0.7024 0.6485 0.5583 0.4638 0.3450 0.2385 0.1352]
epoch=  380  step= 4950  Loss=0.5171  cls_acc=90.95  best_map=45.14
[0.7082 0.6540 0.5607 0.4675 0.3496 0.2368 0.1369]
epoch=  384  step= 5000  Loss=0.5013  cls_acc=89.52  best_map=45.14
[0.7033 0.6505 0.5586 0.4637 0.3483 0.2356 0.1345]
epoch=  388  step= 5050  Loss=0.5056  cls_acc=90.00  best_map=45.14
[0.7085 0.6553 0.5626 0.4669 0.3511 0.2393 0.1400]
epoch=  392  step= 5100  Loss=0.5038  cls_acc=90.00  best_map=45.14
[0.7033 0.6456 0.5555 0.4617 0.3448 0.2365 0.1339]
epoch=  396  step= 5150  Loss=0.4988  cls_acc=90.00  best_map=45.14
[0.6974 0.6436 0.5546 0.4652 0.3431 0.2322 0.1341]
epoch=  399  step= 5200  Loss=0.4994  cls_acc=90.48  best_map=45.14
[0.7111 0.6564 0.5629 0.4687 0.3502 0.2393 0.1396]
epoch=  403  step= 5250  Loss=0.5017  cls_acc=90.48  best_map=45.14
[0.7044 0.6472 0.5547 0.4628 0.3463 0.2356 0.1365]
epoch=  407  step= 5300  Loss=0.4908  cls_acc=89.52  best_map=45.14
[0.7073 0.6550 0.5632 0.4677 0.3491 0.2402 0.1416]
epoch=  411  step= 5350  Loss=0.4958  cls_acc=90.48  best_map=45.14
[0.7085 0.6528 0.5598 0.4650 0.3489 0.2371 0.1374]
epoch=  415  step= 5400  Loss=0.4894  cls_acc=89.52  best_map=45.14
[0.6953 0.6409 0.5479 0.4587 0.3350 0.2313 0.1331]
epoch=  419  step= 5450  Loss=0.4915  cls_acc=90.00  best_map=45.14
[0.7056 0.6521 0.5563 0.4623 0.3451 0.2347 0.1332]
epoch=  423  step= 5500  Loss=0.4748  cls_acc=89.52  best_map=45.14
[0.6992 0.6412 0.5482 0.4614 0.3430 0.2348 0.1308]
epoch=  426  step= 5550  Loss=0.4927  cls_acc=88.57  best_map=45.14
[0.6973 0.6409 0.5491 0.4568 0.3357 0.2331 0.1358]
epoch=  430  step= 5600  Loss=0.4791  cls_acc=88.10  best_map=45.14
[0.6944 0.6406 0.5443 0.4539 0.3407 0.2341 0.1294]
epoch=  434  step= 5650  Loss=0.4836  cls_acc=87.14  best_map=45.14
[0.7015 0.6456 0.5515 0.4604 0.3396 0.2328 0.1359]
epoch=  438  step= 5700  Loss=0.4814  cls_acc=89.05  best_map=45.14
[0.7046 0.6503 0.5545 0.4619 0.3474 0.2367 0.1342]
epoch=  442  step= 5750  Loss=0.4596  cls_acc=90.95  best_map=45.14
[0.6944 0.6395 0.5485 0.4613 0.3457 0.2356 0.1363]
epoch=  446  step= 5800  Loss=0.4634  cls_acc=90.48  best_map=45.14
[0.7065 0.6532 0.5569 0.4632 0.3452 0.2369 0.1292]
epoch=  449  step= 5850  Loss=0.4585  cls_acc=89.52  best_map=45.14
[0.7075 0.6516 0.5563 0.4627 0.3455 0.2339 0.1367]
epoch=  453  step= 5900  Loss=0.4548  cls_acc=90.00  best_map=45.14
[0.7024 0.6457 0.5542 0.4613 0.3377 0.2335 0.1343]
epoch=  457  step= 5950  Loss=0.4631  cls_acc=90.48  best_map=45.14
[0.7050 0.6485 0.5546 0.4610 0.3460 0.2346 0.1311]
epoch=  461  step= 6000  Loss=0.4510  cls_acc=89.05  best_map=45.14
[0.6895 0.6336 0.5457 0.4522 0.3353 0.2288 0.1254]
epoch=  465  step= 6050  Loss=0.4518  cls_acc=89.05  best_map=45.14
[0.7053 0.6494 0.5592 0.4680 0.3480 0.2370 0.1327]
epoch=  469  step= 6100  Loss=0.4373  cls_acc=89.05  best_map=45.14
[0.7045 0.6476 0.5581 0.4656 0.3513 0.2398 0.1360]
epoch=  473  step= 6150  Loss=0.4466  cls_acc=90.48  best_map=45.14
[0.6882 0.6348 0.5424 0.4522 0.3328 0.2254 0.1277]
epoch=  476  step= 6200  Loss=0.4499  cls_acc=85.71  best_map=45.14
[0.7016 0.6456 0.5538 0.4651 0.3452 0.2355 0.1285]
epoch=  480  step= 6250  Loss=0.4377  cls_acc=90.48  best_map=45.14
[0.7097 0.6536 0.5589 0.4668 0.3475 0.2367 0.1335]
epoch=  484  step= 6300  Loss=0.4451  cls_acc=90.95  best_map=45.14
[0.7096 0.6545 0.5626 0.4694 0.3538 0.2387 0.1327]
epoch=  488  step= 6350  Loss=0.4281  cls_acc=90.95  best_map=45.14
[0.7064 0.6490 0.5565 0.4607 0.3481 0.2341 0.1356]
epoch=  492  step= 6400  Loss=0.4180  cls_acc=91.43  best_map=45.14
[0.7108 0.6530 0.5585 0.4635 0.3461 0.2368 0.1289]
epoch=  496  step= 6450  Loss=0.4391  cls_acc=90.48  best_map=45.14
[0.7038 0.6450 0.5548 0.4590 0.3385 0.2295 0.1249]
epoch=  499  step= 6500  Loss=0.4390  cls_acc=90.95  best_map=45.14
[0.7043 0.6484 0.5559 0.4622 0.3428 0.2349 0.1305]
epoch=  503  step= 6550  Loss=0.4321  cls_acc=90.95  best_map=45.14
[0.7126 0.6567 0.5599 0.4652 0.3441 0.2334 0.1334]
epoch=  507  step= 6600  Loss=0.4114  cls_acc=90.48  best_map=45.14
[0.7040 0.6477 0.5556 0.4625 0.3473 0.2357 0.1295]
epoch=  511  step= 6650  Loss=0.4124  cls_acc=90.48  best_map=45.14
[0.7027 0.6500 0.5592 0.4633 0.3462 0.2325 0.1300]
epoch=  515  step= 6700  Loss=0.4203  cls_acc=90.00  best_map=45.14
[0.7038 0.6474 0.5551 0.4583 0.3420 0.2327 0.1321]
epoch=  519  step= 6750  Loss=0.4113  cls_acc=90.95  best_map=45.14
[0.7045 0.6478 0.5556 0.4605 0.3431 0.2345 0.1307]
epoch=  523  step= 6800  Loss=0.4111  cls_acc=89.52  best_map=45.14
[0.7078 0.6524 0.5569 0.4650 0.3482 0.2358 0.1324]
epoch=  526  step= 6850  Loss=0.4103  cls_acc=91.43  best_map=45.14
[0.6966 0.6395 0.5471 0.4561 0.3416 0.2306 0.1311]
epoch=  530  step= 6900  Loss=0.4158  cls_acc=89.05  best_map=45.14
[0.7003 0.6427 0.5543 0.4553 0.3429 0.2342 0.1295]
epoch=  534  step= 6950  Loss=0.4226  cls_acc=86.19  best_map=45.14
[0.7073 0.6533 0.5542 0.4630 0.3460 0.2333 0.1279]
epoch=  538  step= 7000  Loss=0.4079  cls_acc=89.05  best_map=45.14
[0.6876 0.6300 0.5369 0.4478 0.3371 0.2288 0.1243]
epoch=  542  step= 7050  Loss=0.4203  cls_acc=88.57  best_map=45.14
[0.7012 0.6455 0.5514 0.4584 0.3456 0.2327 0.1278]
epoch=  546  step= 7100  Loss=0.4078  cls_acc=90.48  best_map=45.14
[0.7035 0.6471 0.5538 0.4610 0.3477 0.2339 0.1293]
epoch=  549  step= 7150  Loss=0.4068  cls_acc=89.52  best_map=45.14
[0.7029 0.6434 0.5524 0.4550 0.3328 0.2294 0.1286]
epoch=  553  step= 7200  Loss=0.4072  cls_acc=91.43  best_map=45.14
[0.7000 0.6424 0.5462 0.4524 0.3367 0.2274 0.1273]
epoch=  557  step= 7250  Loss=0.4048  cls_acc=90.00  best_map=45.14
[0.6953 0.6397 0.5485 0.4523 0.3427 0.2326 0.1282]
epoch=  561  step= 7300  Loss=0.4002  cls_acc=89.52  best_map=45.14
[0.7060 0.6473 0.5557 0.4601 0.3480 0.2361 0.1342]
epoch=  565  step= 7350  Loss=0.4024  cls_acc=90.95  best_map=45.14
[0.7100 0.6530 0.5629 0.4606 0.3469 0.2351 0.1334]
epoch=  569  step= 7400  Loss=0.3911  cls_acc=90.48  best_map=45.14
[0.7020 0.6442 0.5511 0.4563 0.3446 0.2360 0.1320]
epoch=  573  step= 7450  Loss=0.3993  cls_acc=91.43  best_map=45.14
[0.7046 0.6466 0.5525 0.4606 0.3446 0.2320 0.1290]
epoch=  576  step= 7500  Loss=0.3939  cls_acc=90.95  best_map=45.14
[0.7074 0.6501 0.5577 0.4584 0.3468 0.2334 0.1311]
epoch=  580  step= 7550  Loss=0.3981  cls_acc=90.48  best_map=45.14
[0.6914 0.6335 0.5452 0.4569 0.3430 0.2324 0.1246]
epoch=  584  step= 7600  Loss=0.4028  cls_acc=86.67  best_map=45.14
[0.6782 0.6238 0.5306 0.4433 0.3344 0.2237 0.1229]
epoch=  588  step= 7650  Loss=0.4091  cls_acc=88.10  best_map=45.14
[0.7089 0.6487 0.5596 0.4593 0.3401 0.2316 0.1293]
epoch=  592  step= 7700  Loss=0.4041  cls_acc=91.90  best_map=45.14
[0.7021 0.6437 0.5520 0.4590 0.3447 0.2306 0.1286]
epoch=  596  step= 7750  Loss=0.4019  cls_acc=90.95  best_map=45.14
[0.6916 0.6346 0.5454 0.4532 0.3392 0.2302 0.1238]
epoch=  599  step= 7800  Loss=0.3925  cls_acc=89.52  best_map=45.14
